,title,source,description,url,publishedAt,content
0,"Cryptocurrencies: Navigating in the world of Blockchain Technology - Business, Finance, Investment & Marketing; Blogs, News & Articles",Bhaveshverma.com,"Cryptocurrencies: Navigating in the world of Blockchain Technology - Business, Finance, Investment & Marketing; Blogs, News & Articlesbhaveshverma.com",https://blog.bhaveshverma.com/cryptocurrencies-navigating-in-the-world-of-blockchain-technology/,1682082558,"Cryptocurrencies and blockchain technology are rapidly transforming the financial landscape, providing new opportunities for individuals and businesses alike. However, with so much hype and buzz surr [+7979 chars]"
1,Is Bitcoin Manipulated? Analyst Breaks Down Suspicious BTC Sell-off,Biztoc.com,"Bitcoin's moves on market may seem unnatural, especially when diving into on-chain and market metrics The recent Bitcoin (BTC) sell-off has raised concerns about potential market manipulation, particularly with regards to spot selling on Binance. A thorough e",https://biztoc.com/x/552cb68904726407,1682082130,"Bitcoin's moves on market may seem unnatural, especially when diving into on-chain and market metricsThe recent Bitcoin (BTC) sell-off has raised concerns about potential market manipulation, particu [+265 chars]"
2,"NFT Marketplaces Losing Users & Sales, Crypto Daily TV 21/4/2023",Crypto Daily,In Todays Headline TV CryptoDaily News:Ensuring client's best interestThe U.S. Securities and Exchange Commission is advising brokers and investment advisers they need to use heightened scrutiny when it comes to making crypto recommendations to ensure the ,https://cryptodaily.co.uk/2023/04/nft-marketplaces-are-losing-users-sales-crypto-daily-tv-21-4-2023,1682082000,"In Todays Headline TV CryptoDaily News:
Ensuring client's best interest
The U.S. Securities and Exchange Commission is advising brokers and investment advisers they need to use heightened scrutiny  [+3415 chars]"
3,"Fridays Top Analyst Upgrades and Downgrades: Alphabet, Citizens Financial, Emerson Electric, GE, Las Vega Sands, Medical Properties Trust, Microsoft, Nio, Tesla and More",24/7 Wall St.,"Friday's top analyst upgrades and downgrades included Alphabet, Chegg, Citizens Financial, Comstock Resources, Coterra Energy, CubeSmart, Emerson Electric, Fastly, General Electric, Las Vega Sands, Medical Properties Trust, Microsoft, Nio, Novavax, Raytheon T",https://247wallst.com/investing/2023/04/21/friday-upgrades-downgrades-alphabet-citizens-financial-coterra-energy-emerson-electric-general-electric-las-vega-sands-medical-properties-trust-microsoft-nio-novavax-raytheon-tesla/,1682081845,The futures traded lower after a dreadful Thursday that saw all the major indexes finish the day lower. The Dow Jones industrial average posted its first back-to-back losses in a month. Big-time earn [+3287 chars]
4,The Largest Long Liquidation of 2023: $260 Million Sold on April 19th,Biztoc.com,"According to Coinglass data, on April 19, approximately $260 million worth of longs were liquidated. This event marks the most significant liquidation for longs in 2023, indicating a significant shift in market sentiment. Furthermore, on April 14, roughly $25",https://biztoc.com/x/170547d9b703a4a3,1682081646,"According to Coinglass data, on April 19, approximately $260 million worth of longs were liquidated. This event marks the most significant liquidation for longs in 2023, indicating a significant shif [+240 chars]"
5,"Bitcoin, Ethereum Technical Analysis: BTC Falls Below $28,000 as Losses Intensify",Biztoc.com,"Bitcoins downturn continued on Friday, as prices fell for a third consecutive session, leading to a move below $28,000. Market sentiment has shifted in recent days, as traders began taking profits from last weeks high. Ethereum was also lower, and is now tr",https://biztoc.com/x/f0157947bfa2f057,1682081646,"Bitcoins downturn continued on Friday, as prices fell for a third consecutive session, leading to a move below $28,000. Market sentiment has shifted in recent days, as traders began taking profits fr [+285 chars]"
6,Ukraine plans to adopt EUs new cryptocurrency regulations,Biztoc.com,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own country as well. The Deputy Chairman of the Tax Committee o",https://biztoc.com/x/7102caf68de31941,1682081526,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own [+315 chars]"
7,Is Bitcoin Manipulated? Analyst Breaks Down Suspicious BTC Sell-off,U.Today,"Bitcoin's moves on market may seem unnatural, especially when diving into on-chain and market metrics",https://u.today/is-bitcoin-manipulated-analyst-breaks-down-suspicious-btc-sell-off,1682081520,Disclaimer: The opinion expressed here is not investment advice it is provided for informational purposes only. It does not necessarily reflect the opinion of U.Today. Every investment and all tradin [+2184 chars]
8,"Another bitcoin whale awakes, transfers $7.8 million after a decade of dormancy",Biztoc.com,"A bitcoin whale that has been inactive for a decade transferred 279 bitcoins  worth $7.8 million  to three fresh addresses today. The wallet in question received 1,128 bitcoins in October 2012 and May 2013, on-chain analyst account Lookonchain tweeted. The ",https://biztoc.com/x/9d0620db8b7f6ea4,1682081469,"A bitcoin whale that has been inactive for a decade transferred 279 bitcoins worth $7.8 million to three fresh addresses today.The wallet in question received 1,128 bitcoins in October 2012 and May 2 [+239 chars]"
9,"The central banks dilemma: inflation, stagflation, and the cryptocurrency response in todays economy",CryptoSlate,Explore the alarming possibility of stagflation in the current economy through an Alpha exclusive article. Delve into the three key metrics contributing to stagflation and how central banks find themselves in a precarious position. But as we uncover the chill,https://cryptoslate.com/insights/the-central-banks-dilemma-inflation-stagflation-and-the-cryptocurrency-response-in-todays-economy/,1682081436,"What is CryptoSlate Alpha?
A web3 membership designed to empower you with cutting-edge insights and knowledge. Learn more 
Connected to Alpha
Welcome! You are connected to CryptoSlate Alpha. To m [+972 chars]"
10,"Crypto price prediction: The Graph, BitTorrent, Toncoin",Coinjournal.net,Bitcoin price has pulled back in the past few days as the recent bullish momentum faded. The shake-up has seen the coin retreat in the past three straight days to reach a low of April 9. This decline led to a sharp decline in other coins. In this crypto price,https://coinjournal.net/news/crypto-price-prediction-the-graph-bittorrent-toncoin/,1682080553,"Bitcoin
 price has pulled back in the past few days as the recent bullish momentum faded. The shake-up has seen the coin retreat in the past three straight days to reach a low of April 9. This decli [+3860 chars]"
11,"Rich Dad, Poor Dad Author Explains Why He Loves Bitcoin",Biztoc.com,"Robert Kiyosaki, an accomplished American investor, businessman, motivational speaker, and author of the bestselling book Rich Dad, Poor Dad, recently expressed his admiration for Bitcoin (BTC) and lauded its ability to withstand the test of time. According",https://biztoc.com/x/f2f48e4b6260bc81,1682080475,"Robert Kiyosaki, an accomplished American investor, businessman, motivational speaker, and author of the bestselling book Rich Dad, Poor Dad, recently expressed his admiration for Bitcoin (BTC) and l [+313 chars]"
12,First Mover Americas: Bitcoin Falls to $28K,Biztoc.com,"Jenny will discuss developing crypto-linked investment products in a bear market, the mood among her clients and her lon... Jenny will discuss developing crypto-linked investment products in a bear market, the mood among her clients and her lon... This articl",https://biztoc.com/x/132ebb3ed43e6576,1682080460,"Jenny will discuss developing crypto-linked investment products in a bear market, the mood among her clients and her lon...Jenny will discuss developing crypto-linked investment products in a bear ma [+316 chars]"
13,Bitcoins mempool congestion eases after millionth Ordinals inscription,Biztoc.com,"The Bitcoin blockchains network congestion has been cooling since Ordinals, an iteration of non-fungible tokens (NFT) on the worlds first decentralized blockchain, surpassed its millionth inscription earlier this month. Bitcoins network congestion can be m",https://biztoc.com/x/01512f2cc86105c0,1682080327,"The Bitcoin blockchains network congestion has been cooling since Ordinals, an iteration of non-fungible tokens (NFT) on the worlds first decentralized blockchain, surpassed its millionth inscription [+312 chars]"
14,SAI.TECH Announces Appointments of CTO and COO for New Product Line ULTIAAS,Marketscreener.com,"(marketscreener.com) SINGAPORE, April 21, 2023 -- Today, SAI.TECH Global Corporation , a Sustainable Bitverse Operator announced its recent appointments of Harry Sun to be Chief Technology Officer and Tao Wu to be Chief Operating Officer of SAI.TECH's new Pro",https://www.marketscreener.com/quote/stock/SAI-TECH-GLOBAL-CORPORATI-137177506/news/SAI-TECH-Announces-Appointments-of-CTO-and-COO-for-New-Product-Line-ULTIAAS-43602956/?utm_medium=RSS&utm_content=20230421,1682080321,"SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator announced its recent appointments of Harry Sun to  [+5081 chars]"
15,SAI.TECH Announces Appointments of CTO and COO for New Product Line ULTIAAS,Yahoo Entertainment,"SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator...",https://finance.yahoo.com/news/sai-tech-announces-appointments-cto-123000060.html,1682080200,"SAI.TECH Global Corporation
SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator announced its recent  [+5107 chars]"
16,Bitcoins mempool congestion eases after millionth Ordinals inscription,Forkast.news,Bitcoin mempool congestion issues subsided after the Bitcoin network surpassed 1 million Ordinals inscriptions.,https://forkast.news/bitcoins-mempool-congestion-ordinals-inscription/,1682080173,"The Bitcoin blockchains network congestion has been cooling since Ordinals, an iteration of non-fungible tokens (NFT) on the worlds first decentralized blockchain, surpassed its millionth inscription [+2951 chars]"
17,First Mover Americas: Bitcoin Falls to $28K,CoinDesk,"The latest price moves in bitcoin (BTC) and crypto markets in context for April 21, 2023. First Mover is CoinDesks daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2023/04/21/first-mover-americas-bitcoin-falls-to-28k/,1682079872,"This article originally appeared in First Mover, CoinDesks daily newsletter putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.
Bitcoin was down for a [+2122 chars]"
18,Ukraine plans to adopt EUs new cryptocurrency regulations,Cointelegraph,"Immediately after passing the European Parliament, Ukrainian authorities announced plans to adopt the EU's MiCA regulations on crypto assets.",https://cointelegraph.com/news/ukraine-plans-to-adopt-eu-s-new-cryptocurrency-regulations,1682079789,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own [+1790 chars]"
19,Expert predicts major pullback for Bitcoin and Ethereum as US recession looms,Biztoc.com,"could be facing resistance at key round number levels of $30,000 and $2,000, with the potential for a stock market downturn with the Federal Reserve tightening into a recession that could affect all risk assets. Bitcoin and Ethereum have had a pivotal status ",https://biztoc.com/x/cdcb7c1b7b2b33d2,1682079726,"and Ethereum (ETH) could be facing resistance at key round number levels of $30,000 and $2,000, with the potential for a stock market downturn with the Federal Reserve tightening into a recession tha [+322 chars]"
20,Is Bitcoin Bull Market Here? This Metric Says No,Biztoc.com,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet. Bitcoin Exchange Reserve Ratio Has Continued To Decline Recently As pointed out by an analyst in a CryptoQuant post,https://biztoc.com/x/4275846d88a6d6b8,1682079607,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet.Bitcoin Exchange Reserve Ratio Has Continued To Decline R [+251 chars]
21,Confusing data,Marketscreener.com,(marketscreener.com) Wall Street struggled in early trading as investors are getting confused by the mixed economic data released in the past few days. Its the usual conundrum: data showing that the economy and the job market are cooling fuels fear of recess,https://www.marketscreener.com/news/latest/Confusing-data--43602809/?utm_medium=RSS&utm_content=20230421,1682079199,Wall Street struggled in early trading as investors are getting confused by the mixed economic data released in the past few days. It's the usual conundrum: data showing that the economy and the job  [+6420 chars]
22,Expert predicts major pullback for Bitcoin and Ethereum as US recession looms,Finbold.com,"Bitcoin (BTC) and Ethereum (ETH) could be facing resistance at key round number levels of $30,000 and $2,000, with the  ContinuedThe post Expert predicts major pullback for Bitcoin and Ethereum as US recession looms appeared first on Finbold.",https://finbold.com/expert-predicts-major-pullback-for-bitcoin-and-ethereum-as-us-recession-looms/,1682079190,"Bitcoin (BTC) and Ethereum (ETH) could be facing resistance at key round number levels of $30,000 and $2,000, with the potential for a stock market downturn with the Federal Reserve tightening into a [+2370 chars]"
23,Is Bitcoin Bull Market Here? This Metric Says No,Bitcoinist,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet. Bitcoin Exchange Reserve Ratio Has Continued To Decline Recently As pointed out by an analyst in a CryptoQuant post,https://bitcoinist.com/is-bitcoin-bull-market-here-this-metric-says-no/,1682078777,"A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet.
Bitcoin Exchange Reserve Ratio Has Continued To Declin [+2909 chars]"
24,Solana Now Measures Network Carbon Emissions Data in Real Time,Biztoc.com,"Solana is now measuring data pertaining to its carbon emissions in real time, the Solana Foundation announced today. Its a claimed first-of-its-kind move for ""a major smart contract blockchain network."" Smart contracts hold the code that powers decentralized",https://biztoc.com/x/f0091e385510f735,1682078646,"Solana is now measuring data pertaining to its carbon emissions in real time, the Solana Foundation announced today. Its a claimed first-of-its-kind move for ""a major smart contract blockchain networ [+321 chars]"
25,Solana Now Measures Network Carbon Emissions Data in Real Time,Decrypt,"The Solana Foundation claims that it is the first ""major smart contract blockchain network"" to broadcast its environmental impact as such.",https://decrypt.co/137441/solana-now-measures-network-carbon-emissions-data-in-real-time,1682078462,"Solana is now measuring data pertaining to its carbon emissions in real time, the Solana Foundation announced today. Its a claimed first-of-its-kind move for ""a major smart contract blockchain networ [+5755 chars]"
26,The Bitcoin Culture War Wont Win Mass Adoption,Bitcoin Magazine,"Prominent Bitcoiners, many of whom advocate lifestyle maximalism, may be hurting adoption by leaning in one political direction.",https://bitcoinmagazine.com/culture/why-does-bitcoin-culture-skew-right,1682078400,"This is an opinion editorial by Trey Walsh, the senior director for youth programs at the MassHire Metro North Workforce Board in Somerville, Massachusetts.
Since its inception in 2009, Bitcoin has  [+16666 chars]"
27,"Bitcoin Fans Salute Billionaire Saylor, $0.006 at a Time",Biztoc.com,Michael Saylor has netted literally dollars worth of bitcoin ever since MicroStrategy adopted the Lightning Network. #michaelsaylor #lightningnetwork,https://biztoc.com/x/52be19cc5f6c5133,1682078289,"Michael Saylor has netted literally dollars worth of bitcoin ever since MicroStrategy adopted the Lightning Network. 
#michaelsaylor#lightningnetwork
 This story appeared on blockworks.co, 2023-04- [+2 chars]"
28,"wMarket Update: Another red day sees Bitcoin lose $28,000",Biztoc.com,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion  down 2.4% from $1.22 trillion. During the reporting period, Bitcoin and Ethereums market caps fell 3% and 2.1% to $541.93 billio",https://biztoc.com/x/bb8023ea5676379e,1682078168,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion down 2.4% from $1.22 trillion.During the reporting period, Bitcoin and E [+303 chars]"
29,Yo!Mix: A seamless Bitcoin Mixer making crypto transactions anonymous,Biztoc.com,"Bitcoin Mixer as new as it sounds is nothing but a set of tools or services enabling anonymity to the king coin, Bitcoin. The platform serves the purpose of terminating the connection between addresses inside the blockchain thereby, complicating the carrying ",https://biztoc.com/x/00e770725d65b23e,1682078046,"Bitcoin Mixer as new as it sounds is nothing but a set of tools or services enabling anonymity to the king coin, Bitcoin. The platform serves the purpose of terminating the connection between address [+314 chars]"
30,Coinbase Stock: Bull vs. Bear,Motley Fool,"After plunging last year, is the crypto exchange a buy right now?",https://www.fool.com/investing/2023/04/21/coinbase-stock-bull-vs-bear/,1682077800,"Coinbase Global (COIN -6.11%) was one of many cryptocurrency stocks to win the hearts and minds of investors during the crypto boom in 2021.
But that boom went bust, and shares of Coinbase, a leadin [+4314 chars]"
31,Bitcoin Options Specialist Bitnomial Rolling out Block Trades,Biztoc.com,"Bitcoin-focused derivatives exchange Bitnomial is rolling out block trading for the first time in an industry bid to capitalize on a long time traditional finance practice, as US institutional interest in bitcoin and ether options has booked a marked uptick. ",https://biztoc.com/x/856714fadb0ba95c,1682077687,"Bitcoin-focused derivatives exchange Bitnomial is rolling out block trading for the first time in an industry bid to capitalize on a long time traditional finance practice, as US institutional intere [+290 chars]"
32,"Crypto Analytics Platform Santiment Issues Warning, Says One Bitcoin Metric Flashing a Concerning Signal",Biztoc.com,"A leading crypto analytics firm is warning that one key metric is flashing bearish for the top crypto by market cap Bitcoin (BTC). Santiment says that Bitcoins funding rate may be on the verge of turning negative, which would indicate a market downtrend. Cry",https://biztoc.com/x/c8bfaa3ba0864073,1682077578,A leading crypto analytics firm is warning that one key metric is flashing bearish for the top crypto by market cap Bitcoin (BTC).Santiment says that Bitcoins funding rate may be on the verge of turn [+278 chars]
33,"Crypto Analytics Platform Santiment Issues Warning, Says One Bitcoin Metric Flashing a Concerning Signal",The Daily Hodl,"A leading crypto analytics firm is warning that one key metric is flashing bearish for the top crypto by market cap Bitcoin (BTC). Santiment says that Bitcoins funding rate may be on the verge of turning negative, which would indicate a market downtrend. Cry",https://dailyhodl.com/2023/04/21/crypto-analytics-platform-santiment-issues-warning-says-one-bitcoin-metric-flashing-a-concerning-signal/,1682077558,"A leading crypto analytics firm is warning that one key metric is flashing bearish for the top crypto by market cap Bitcoin (BTC).
Santiment says that Bitcoins funding rate may be on the verge of tu [+2128 chars]"
34,"CryptoSlate wMarket Update: Another red day sees Bitcoin lose $28,000",CryptoSlate,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion  down 2.4% from $1.22 trillion. During the reporting period, Bitcoin and Ethereums market caps fell 3% and 2.1% to $541.93 billio",https://cryptoslate.com/cryptoslate-wmarket-update-another-red-day-sees-bitcoin-lose-28000/,1682077551,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion down 2.4% from $1.22 trillion.
During the reporting period, Bitcoin and [+3374 chars]"
35,Yo!Mix: A seamless Bitcoin Mixer making crypto transactions anonymous,Ambcrypto.com,Bitcoin Mixer as new as it sounds is nothing but a set of tools or [],https://ambcrypto.com/yomix-a-seamless-bitcoin-mixer-making-crypto-transactions-anonymous/,1682077506,"Bitcoin Mixer as new as it sounds is nothing but a set of tools or services enabling anonymity to the king coin, Bitcoin. The platform serves the purpose of terminating the connection between address [+5939 chars]"
36,"Why Does the NYT Disparage the Bitcoin Mining Industry, but Avoid Analyzing the Carbon Footprint of the US Dollar System? You may already know the answer:",Biztoc.com,"If you liked reading this, feel free to click the  button on this issue so more people can discover it on Substack . The Proof-of-Work that makes the Bitcoin system unique and superior would be an environmental disaster to listen to the powerful of the curr",https://biztoc.com/x/9645d4b3ade922e0,1682077446,"If you liked reading this, feel free to click the button on this issue so more people can discover it on Substack .The Proof-of-Work that makes the Bitcoin system unique and superior would be an envi [+296 chars]"
37,"'Rich Dad, Poor Dad' Author Says Bitcoin On Its Way To $100K",Biztoc.com,"Bitcoin's BTC/USD ascent over the years was observed by the ""Rich Dad, Poor Dad"" author Robert Kiyosaki who developed an affection for the apex coin. What Happened: Kiyosaki shared why he loves Bitcoin on Twitter on Thursday. The best-selling author and finan",https://biztoc.com/x/dec8569a82fc01ed,1682076966,"Bitcoin's BTC/USD ascent over the years was observed by the ""Rich Dad, Poor Dad"" author Robert Kiyosaki who developed an affection for the apex coin.What Happened: Kiyosaki shared why he loves Bitcoi [+316 chars]"
38,"Bitcoin's Dominance Rate Runs Into Familiar Resistance, Hints at 'Altcoin Season' Ahead",CoinDesk,"Bitcoin's dominance rate is again stuck at 48%, suggesting a potential for ""altcoin boom"" in weeks ahead.",https://www.coindesk.com/markets/2023/04/21/bitcoins-dominance-rate-runs-into-familiar-resistance-hints-at-altcoin-season-ahead/,1682076089,"The increase in bitcoin's (BTC) dominance rate, or the largest cryptocurrency's share of the market, has halted, hinting at the potential outperformance of alternative tokens (altcoins) ahead.
Data  [+1498 chars]"
39,Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border Deals,Biztoc.com,"Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border Deals The Global Crypto Market Cap is down by 1.87% to $1.19T at the time of writing this article. Over the past 24 hours, the overall volume of the Cryptocurrency Market has decreased",https://biztoc.com/x/5c5684bff32d57e0,1682075767,"Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border DealsThe Global Crypto Market Cap is down by 1.87% to $1.19T at the time of writing this article. Over the past 24 hours, th [+296 chars]"
40,20k BTC reenters exchanges following largest Bitcoin long liquidation event this year,Biztoc.com,"Quick Take In the past two weeks, exchanges have seen roughly 20,000 Bitcoin (BTC) put back onto exchanges. Bitcoin hit a local top of $30,000, and has descended below $28,000, which has seen a lot of sell pressure on top of the biggest long liquidation event",https://biztoc.com/x/6c4351f6ee23ce4c,1682075649,"Quick TakeIn the past two weeks, exchanges have seen roughly 20,000 Bitcoin (BTC) put back onto exchanges.Bitcoin hit a local top of $30,000, and has descended below $28,000, which has seen a lot of  [+246 chars]"
41,"Vinanz raises GBP755,000 in IPO, buys Bitcoin assets from Valereum",Marketscreener.com,"(marketscreener.com) Vinanz Ltd on Friday said it began trading on AQSE in London, after raising GBP775,000 at its initial public offering, and also bought Bitcoin mining assets from Valereum PLCVinanz is a company aiming to build a Bitcoin mining operation",https://www.marketscreener.com/quote/stock/PCG-ENTERTAINMENT-PLC-19156922/news/Vinanz-raises-GBP755-000-in-IPO-buys-Bitcoin-assets-from-Valereum-43602127/?utm_medium=RSS&utm_content=20230421,1682075171,"(Alliance News) - Vinanz Ltd on Friday said it began trading on AQSE in London, after raising GBP775,000 at its initial public offering, and also bought Bitcoin mining assets from Valereum PLC
Vinan [+1095 chars]"
42,Bitcoin soccer club Real Bedford FC wins the league,Biztoc.com,"The so-called Bitcoin (BTC) soccer team, Real Bedford Football Club, has won the United Kingdoms South Midlands League for the 2023 season. Fans from all over the world, from Vancouver to Beijing, flew in to watch the last home game and see the trophy raised",https://biztoc.com/x/06ec4c3dee1c4694,1682074930,"The so-called Bitcoin (BTC) soccer team, Real Bedford Football Club, has won the United Kingdoms South Midlands League for the 2023 season.Fans from all over the world, from Vancouver to Beijing, fle [+326 chars]"
43,Stronghold Digital Mining Announces $10 Million Private Placement to Fund Purchase of Bitcoin Miners,Marketscreener.com,"(marketscreener.com) NEW YORK, April 21, 2023 -- Stronghold Digital Mining, Inc. today announced that it has entered into securities purchase agreements with an institutional investor and the Companys chairman and chief executive officer, Greg Beard , to sel",https://www.marketscreener.com/quote/stock/STRONGHOLD-DIGITAL-MINING-128408809/news/Stronghold-Digital-Mining-Announces-10-Million-Private-Placement-to-Fund-Purchase-of-Bitcoin-Miners-43602095/?utm_medium=RSS&utm_content=20230421,1682074921,"NEW YORK, April 21, 2023 (GLOBE NEWSWIRE) -- Stronghold Digital Mining, Inc. (NASDAQ: SDIG) (Stronghold, or the Company) today announced that it has entered into securities purchase agreements wi [+5060 chars]"
44,20k BTC reenters exchanges following largest Bitcoin long liquidation event this year,CryptoSlate,"Quick Take In the past two weeks, exchanges have seen roughly 20,000 Bitcoin (BTC) put back onto exchanges. Bitcoin hit a local top of $30,000, and has descended below $28,000, which has seen a lot of sell pressure on top of the biggest long liquidation event",https://cryptoslate.com/insights/20k-btc-reenters-exchanges-following-largest-bitcoin-long-liquidation-event-this-year/,1682074832,"What is CryptoSlate Alpha?
A web3 membership designed to empower you with cutting-edge insights and knowledge. Learn more 
Connected to Alpha
Welcome! You are connected to CryptoSlate Alpha. To m [+972 chars]"
45,Trading Volume Reflects Bear Market Amid Shift to New Stablecoin,Biztoc.com,"Binances BUSD-TrueUSD (TUSD) pair dominates Bitcoin (BTC) volume, accounting for 50% of all BTC trading as reintroduced fees tank other pairs trading volumes. Research firm Kaiko revealed that Binances BTC-TUSD trading volume grew to $60 million per hour s",https://biztoc.com/x/6e862de7f15e0b70,1682074806,"Binances BUSD-TrueUSD (TUSD) pair dominates Bitcoin (BTC) volume, accounting for 50% of all BTC trading as reintroduced fees tank other pairs trading volumes.Research firm Kaiko revealed that Binance [+322 chars]"
46,Stronghold Digital Mining Announces $10 Million Private Placement to Fund Purchase of Bitcoin Miners,Yahoo Entertainment,"NEW YORK, April 21, 2023 (GLOBE NEWSWIRE) -- Stronghold Digital Mining, Inc. (NASDAQ: SDIG) (Stronghold, or the Company) today announced that it has...",https://finance.yahoo.com/news/stronghold-digital-mining-announces-10-110000269.html,1682074800,"Stronghold Digital Mining, Inc.
NEW YORK, April 21, 2023 (GLOBE NEWSWIRE) -- Stronghold Digital Mining, Inc. (NASDAQ: SDIG) (Stronghold, or the Company) today announced that it has entered into secu [+5042 chars]"
